date,product,category,region,quantity,unit_price,revenue,customer_age
2025-02-02,Laptop,Electronics,East,4,119.37,477.48,65
2025-03-03,Laptop,Electronics,West,1,24.6,24.6,31
2025-04-04,T-Shirt,Clothing,South,9,215.56,1940.04,46
2025-05-05,Coffee Maker,Home & Kitchen,South,7,176.72,1237.04,27
2025-06-06,Jacket,Clothing,North,2,196.16,392.32,40
2025-07-07,Microwave,Home & Kitchen,North,8,272.75,2182.0,42
2025-08-08,Headphones,Electronics,East,10,104.22,1042.2,22
2025-09-09,Smartphone,Electronics,East,2,429.11,858.22,24
2025-10-10,Cookbook,Books,West,6,89.7,538.2,40
2025-11-11,Jacket,Clothing,North,10,321.14,3211.4,52
2025-12-12,Jeans,Clothing,West,7,142.27,995.89,58
2025-01-13,Jacket,Clothing,North,4,412.68,1650.72,69
2025-02-14,Toaster,Home & Kitchen,East,2,113.38,226.76,54
2025-03-15,Blender,Home & Kitchen,West,7,443.49,3104.43,59
2025-04-16,Sci-Fi Book,Books,East,3,130.85,392.55,53
2025-05-17,Toaster,Home & Kitchen,West,6,117.47,704.82,26
2025-06-18,Fiction Novel,Books,North,2,84.89,169.78,28
2025-07-19,Fiction Novel,Books,West,7,301.99,2113.93,47
2025-08-20,Coffee Maker,Home & Kitchen,North,9,377.93,3401.37,67
2025-09-21,Coffee Maker,Home & Kitchen,East,7,87.5,612.5,18
2025-10-22,Blender,Home & Kitchen,North,5,422.42,2112.1,50
2025-11-23,Jeans,Clothing,East,3,274.3,822.9,67
2025-12-24,Headphones,Electronics,West,1,64.82,64.82,41
2025-01-25,Blender,Home & Kitchen,North,4,440.22,1760.88,23
2025-02-26,Monitor,Electronics,North,9,385.26,3467.34,
2025-03-27,Sci-Fi Book,Books,East,9,437.49,3937.41,45
2025-04-28,Jeans,Clothing,East,7,497.62,3483.34,59
2025-05-01,Toaster,Home & Kitchen,West,2,131.47,262.94,22
2025-06-02,Coffee Maker,Home & Kitchen,South,10,117.91,1179.1,22
2025-07-03,Smartphone,Electronics,North,1,431.22,431.22,22
2025-08-04,Jacket,Clothing,West,4,274.22,1096.88,64
2025-09-05,Sci-Fi Book,Books,West,7,103.3,723.1,24
2025-10-06,Cookbook,Books,West,7,238.84,1671.88,64
2025-11-07,Laptop,Electronics,North,7,366.82,2567.74,69
2025-12-08,Smartphone,Electronics,South,4,272.78,1091.12,26
2025-01-09,Sci-Fi Book,Books,East,8,132.41,1059.28,22
2025-02-10,Fiction Novel,Books,North,9,419.65,3776.85,23
2025-03-11,Jeans,Clothing,West,8,245.87,1966.96,43
2025-04-12,Smartphone,Electronics,West,1,492.8,492.8,34
2025-05-13,Cookbook,Books,,9,334.32,3008.88,49
2025-06-14,Jeans,Clothing,East,4,484.67,1938.68,55
2025-07-15,Headphones,Electronics,North,1,296.25,296.25,50
2025-08-16,T-Shirt,Clothing,North,3,43.58,130.74,22
2025-09-17,Sneakers,Clothing,North,10,130.65,1306.5,56
2025-10-18,Laptop,Electronics,West,10,286.96,2869.6,38
2025-11-19,Blender,Home & Kitchen,East,4,140.15,560.6,26
2025-12-20,Toaster,Home & Kitchen,East,2,14.56,29.12,57
2025-01-21,Laptop,Electronics,South,9,139.95,1259.55,40
2025-02-22,Smartphone,Electronics,East,5,87.3,436.5,52
2025-03-23,Coffee Maker,Home & Kitchen,East,2,7051.2,14102.4,
2025-04-24,Coffee Maker,Home & Kitchen,North,9,86.17,775.53,36
2025-05-25,Jacket,Clothing,South,5,257.65,1288.25,34
